id	external_id	link
SPAC5H10.11.1	GO:0000139	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0000139">GO:0000139</a>
SPAC5H10.11.1	GO:0031278	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0031278">GO:0031278</a>
SPAC5H10.13c.1	GO:0000139	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0000139">GO:0000139</a>
SPAC5H10.13c.1	GO:0031278	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0031278">GO:0031278</a>
SPAC18G6.02c.1	GO:0005515	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005515">GO:0005515</a>
SPCC553.09c.1	GO:0043596	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0043596">GO:0043596</a>
SPAC688.10.1	GO:0070987	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0070987">GO:0070987</a>
SPAC30.03c.1	GO:0005515	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0005515">GO:0005515</a>
SPAC637.06.1	GO:0000139	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0000139">GO:0000139</a>
SPAC637.06.1	GO:0031278	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0031278">GO:0031278</a>
SPAC637.06.1	GO:0009272	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0009272">GO:0009272</a>
SPAC637.06.1	GO:0042125	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0042125">GO:0042125</a>
SPCC736.03c.1	GO:0032543	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0032543">GO:0032543</a>
SPAC22E12.06c.1	GO:0000139	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0000139">GO:0000139</a>
SPCC736.07c.1	GO:0002183	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0002183">GO:0002183</a>
SPBC8D2.17.1	GO:0000139	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0000139">GO:0000139</a>
SPBC8D2.17.1	GO:0031278	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0031278">GO:0031278</a>
SPBC8D2.17.1	GO:0009272	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0009272">GO:0009272</a>
SPBC8D2.17.1	GO:0042125	<a href="https://www.ebi.ac.uk/QuickGO/GTerm?id=GO:0042125">GO:0042125</a>
