id	gene_id	link
SPCC553.09c.1	SPCC553.09c	<a href="https://www.pombase.org/gene/SPCC553.09c">SPCC553.09c</a>
SPCC553.08c.1	SPCC553.08c	<a href="https://www.pombase.org/gene/SPCC553.08c">SPCC553.08c</a>
SPCC553.07c.1	SPCC553.07c	<a href="https://www.pombase.org/gene/SPCC553.07c">SPCC553.07c</a>
SPCC553.06.1	SPCC553.06	<a href="https://www.pombase.org/gene/SPCC553.06">SPCC553.06</a>
SPCC553.05c.1	SPCC553.05c	<a href="https://www.pombase.org/gene/SPCC553.05c">SPCC553.05c</a>
SPCC553.04.1	SPCC553.04	<a href="https://www.pombase.org/gene/SPCC553.04">SPCC553.04</a>
SPCC553.03.1	SPCC553.03	<a href="https://www.pombase.org/gene/SPCC553.03">SPCC553.03</a>
SPCC553.02.1	SPCC553.02	<a href="https://www.pombase.org/gene/SPCC553.02">SPCC553.02</a>
SPCC553.01c.1	SPCC553.01c	<a href="https://www.pombase.org/gene/SPCC553.01c">SPCC553.01c</a>
SPCC736.02.1	SPCC736.02	<a href="https://www.pombase.org/gene/SPCC736.02">SPCC736.02</a>
SPCC736.03c.1	SPCC736.03c	<a href="https://www.pombase.org/gene/SPCC736.03c">SPCC736.03c</a>
SPCC736.04c.1	SPCC736.04c	<a href="https://www.pombase.org/gene/SPCC736.04c">SPCC736.04c</a>
SPCC736.05.1	SPCC736.05	<a href="https://www.pombase.org/gene/SPCC736.05">SPCC736.05</a>
SPCC736.06.1	SPCC736.06	<a href="https://www.pombase.org/gene/SPCC736.06">SPCC736.06</a>
SPCC736.07c.1	SPCC736.07c	<a href="https://www.pombase.org/gene/SPCC736.07c">SPCC736.07c</a>
SPCC736.08.1	SPCC736.08	<a href="https://www.pombase.org/gene/SPCC736.08">SPCC736.08</a>
SPCC736.09c.1	SPCC736.09c	<a href="https://www.pombase.org/gene/SPCC736.09c">SPCC736.09c</a>
SPCC736.10c.1	SPCC736.10c	<a href="https://www.pombase.org/gene/SPCC736.10c">SPCC736.10c</a>
SPCC736.11.1	SPCC736.11	<a href="https://www.pombase.org/gene/SPCC736.11">SPCC736.11</a>
SPCC736.12c.1	SPCC736.12c	<a href="https://www.pombase.org/gene/SPCC736.12c">SPCC736.12c</a>
SPCC736.13.1	SPCC736.13	<a href="https://www.pombase.org/gene/SPCC736.13">SPCC736.13</a>
SPCC736.14.1	SPCC736.14	<a href="https://www.pombase.org/gene/SPCC736.14">SPCC736.14</a>
